#;Hasomed RehaGait raw measurement data file;
#;Contains sensor calibrated raw values;
#;File version;3;
#;App version;1.3.16;
#;App type;36;
#;Patient ID;-1;
#;Patient name;COKI10367;EJ;
#;Patient date of birth;1942-12-25 00-00-00;
#;Patient age at measurement date;78,500000;years;
#;Patient body height;174;cm;
#;Measurement date;2021-06-01 14-59-35;
#;Sensor serial;1824;Sensor position;0; Sample rate;100;
#;Sensor serial;1825;Sensor position;1; Sample rate;100;
#;Sensor serial;1826;Sensor position;6; Sample rate;100;
#;Accelerometer data unit;Metre per second squared;
#;Gyroscope data unit;Degree per second;
#;Magnetic field data unit;Gauss;
#;Examiner;EJ;
#;Patient-ID;COKI10367;
#;Patient trial time;1;T1;
#;Assessment type;17;StraightWalkNormalPace;
#;Tool type;0;None;
# Sample number;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Init algo done;Pause;
633;0;5.2167;-4.6148;6.0074;50.9064;-72.4477;71.0769;0.6308;0.2476;-0.4067;1;1.4558;1.6332;9.9154;15.3728;-0.0154;4.5807;0.2762;-0.4983;-0.6124;6;10.4849;2.0177;1.2866;-15.1332;-7.6423;21.5624;-1.0871;-0.2373;-0.1531;1;0;
634;0;2.5617;-3.4987;5.6549;41.1714;-72.7236;97.1189;0.6638;0.2442;-0.4550;1;0.8264;1.8070;9.9627;13.8641;-0.0281;4.8662;0.2822;-0.5043;-0.6064;6;10.8291;2.4155;1.5221;-9.2070;-8.5088;9.7636;-1.0874;-0.2380;-0.1887;1;0;
635;0;3.0687;-3.6503;3.7395;23.0889;-80.0175;115.8863;0.6633;0.2826;-0.4370;1;1.3871;1.8607;9.3296;11.7639;0.0412;4.6630;0.2762;-0.5043;-0.6184;6;10.5379;2.4724;1.1163;-6.0915;-9.2559;0.2619;-1.0705;-0.1986;-0.1516;1;0;
636;0;5.1764;-2.1962;3.9334;8.8831;-98.7444;130.6359;0.6455;0.2255;-0.4734;1;0.8153;2.4948;9.4386;12.1603;0.5160;5.3954;0.2762;-0.5043;-0.6004;6;10.1867;2.6999;0.5379;-6.0372;-9.7909;-7.0267;-1.0395;-0.2367;-0.1699;1;0;
637;0;5.6655;-1.6191;4.4017;3.4551;-123.8627;138.4016;0.6471;0.1878;-0.4745;1;0.8141;1.9192;9.3188;13.5056;0.7059;4.4030;0.2702;-0.5103;-0.6064;6;9.6184;3.3261;0.5279;-4.7606;-10.1436;-5.7771;-1.0710;-0.2182;-0.1700;1;0;
638;0;5.9143;-1.2751;4.8688;7.3324;-146.3557;139.9566;0.6709;0.0743;-0.4603;1;1.1587;2.0914;9.3848;11.9792;1.4963;4.6224;0.2882;-0.4983;-0.6244;6;9.8414;3.2119;0.3031;-3.5948;-10.3310;0.9468;-1.1023;-0.1808;-0.1872;1;0;
639;0;6.0837;-0.8595;4.2828;8.8076;-165.6945;134.3830;0.6824;0.1277;-0.5246;1;0.8789;2.7263;9.7922;10.2520;1.5414;4.7244;0.2702;-0.4983;-0.6064;6;9.0375;3.2125;-0.2266;-3.2465;-10.3299;7.2662;-1.0878;-0.2572;-0.1893;1;0;
640;0;6.3169;-0.7963;3.8775;9.4091;-181.1743;124.9059;0.5688;0.1100;-0.6320;1;1.1573;2.2637;9.3270;7.6518;1.9146;4.4917;0.2702;-0.5163;-0.6004;6;8.8687;2.8716;-0.1727;-3.3057;-11.9144;9.5291;-1.0547;-0.1987;-0.1690;1;0;
641;0;6.3031;-0.7284;3.1176;-0.1566;-191.6719;113.0197;0.5897;0.0143;-0.6507;1;0.7076;2.3240;9.7871;8.0781;2.4521;5.2849;0.2822;-0.4983;-0.6004;6;9.3278;2.1319;0.0639;-5.0167;-13.4044;9.4455;-1.1031;-0.2380;-0.1712;1;0;
642;0;6.5463;-0.9637;3.2416;-19.8803;-200.3657;98.7167;0.5740;0.0357;-0.6008;1;0.9808;2.3780;9.0899;9.3908;3.0842;5.3042;0.2882;-0.5043;-0.6124;6;8.5953;2.0761;0.3365;-6.5190;-15.3187;7.1091;-1.1187;-0.2192;-0.1709;1;0;
643;0;5.9517;-0.8513;3.6383;-44.1288;-207.3707;86.1678;0.5333;-0.0040;-0.7047;1;1.1021;2.3218;9.4433;12.4056;3.6147;5.8057;0.2522;-0.5043;-0.6124;6;8.3087;1.7920;0.1594;-6.0839;-15.9608;5.1859;-1.1020;-0.1801;-0.1516;1;0;
644;0;5.0661;-1.0369;4.5590;-66.9111;-210.7605;75.1859;0.4965;-0.0609;-0.7588;1;1.1663;2.1507;9.7951;12.5532;4.0208;6.0790;0.2822;-0.4923;-0.6004;6;8.4240;2.0194;0.2761;-4.1950;-16.0678;4.1453;-1.1024;-0.2181;-0.1351;1;0;
645;0;5.1943;-0.6344;5.0232;-87.6894;-209.7655;65.7808;0.4645;-0.0569;-0.6938;1;0.7074;2.4966;9.7878;12.3228;3.4356;6.5755;0.2822;-0.5043;-0.6124;6;7.9749;2.2477;0.5541;0.1106;-16.7393;2.1367;-1.1184;-0.2000;-0.1703;1;0;
646;0;4.6141;-0.2404;6.2339;-105.6569;-207.3698;57.1088;0.4251;-0.0766;-0.7636;1;1.3375;2.5530;9.8002;14.8318;2.7453;6.0732;0.2942;-0.5103;-0.6064;6;7.9163;2.0771;0.4385;3.8043;-16.6220;0.3063;-1.0708;-0.1993;-0.1871;1;0;
647;0;4.2776;0.3844;7.6210;-117.4681;-206.9346;49.4857;0.3890;-0.0750;-0.7656;1;1.1548;3.0686;9.2720;13.8999;3.2988;6.7515;0.2702;-0.5043;-0.5944;6;8.0363;1.9066;0.7838;8.3664;-16.3527;-1.5180;-1.0711;-0.2555;-0.1179;1;0;
648;0;3.9958;0.3133;8.6677;-127.4968;-210.1280;43.7299;0.3823;-0.0402;-0.8483;1;1.3258;2.3201;9.1548;12.3530;3.4668;6.5752;0.2882;-0.5043;-0.5944;6;8.0270;1.8493;0.2687;11.0492;-14.9304;-3.0926;-1.0554;-0.2555;-0.1353;1;0;
649;0;2.7467;0.3047;9.4630;-137.5078;-215.6554;40.3528;0.3325;-0.0160;-0.7670;1;0.6406;2.2068;9.2582;10.0279;2.3227;5.8274;0.2582;-0.5163;-0.5944;6;8.0321;1.9064;0.5549;12.5724;-13.2565;-3.0941;-1.0864;-0.2174;-0.1170;1;0;
650;0;2.3002;0.9808;11.4313;-148.7635;-220.8353;38.4751;0.3467;-0.0770;-0.8683;1;1.2866;2.0368;10.0897;9.7239;1.9439;5.3397;0.2642;-0.5043;-0.5944;6;8.3160;1.7923;0.5600;14.7879;-11.6022;-1.7336;-1.1031;-0.2750;-0.1014;1;0;
651;0;1.1854;2.4201;13.0865;-156.7978;-223.3212;36.1848;0.2388;-0.0528;-0.8572;1;1.1068;2.7832;9.7383;6.7875;2.3809;5.6924;0.2762;-0.5043;-0.6004;6;8.4319;1.5079;0.6763;18.2026;-10.2177;-0.6570;-1.0864;-0.2174;-0.1170;1;0;
652;0;0.3128;2.7502;14.7598;-158.3997;-224.6984;32.9151;0.2192;-0.0915;-0.9097;1;0.9926;2.5534;9.7350;10.0767;0.6625;3.5323;0.2582;-0.5043;-0.5944;6;8.5460;1.9059;0.7360;21.1226;-8.6219;-1.5920;-1.0717;-0.2565;-0.1712;1;0;
653;0;-0.4321;3.8914;16.8921;-150.9360;-224.4510;28.5827;0.1264;-0.0504;-0.9305;1;1.2154;2.4364;9.3874;8.7088;-0.1207;3.9444;0.2642;-0.5223;-0.5884;6;8.3721;1.4510;0.5036;24.0290;-6.2434;-4.0567;-1.1190;-0.2568;-0.1366;1;0;
654;0;-1.0169;3.8221;17.8166;-137.8477;-221.5134;23.2846;0.1225;-0.0333;-0.9802;1;1.2133;2.3784;9.2700;8.7539;-0.2290;5.5120;0.2702;-0.5103;-0.6064;6;8.4922;1.1668;0.8488;26.3839;-3.8372;-6.3204;-1.1023;-0.1808;-0.1872;1;0;
655;0;-1.9112;3.8174;18.2679;-125.5733;-215.1266;17.4256;0.0203;-0.1218;-0.9558;1;1.1158;2.6703;10.2064;14.1271;-1.0846;4.0413;0.2702;-0.5103;-0.6004;6;8.6588;1.6214;0.6806;28.7322;-2.0519;-7.7284;-1.0699;-0.2161;-0.0633;1;0;
656;0;-2.3360;3.2373;18.0343;-119.4667;-205.9259;11.0285;0.0318;-0.0683;-1.0201;1;0.8184;2.6682;9.6151;9.6579;-0.7472;5.3254;0.2702;-0.5103;-0.6064;6;8.9991;1.8484;0.6870;30.6657;-0.6412;-8.4818;-1.0871;-0.2373;-0.1531;1;0;
657;0;-3.2404;2.8898;17.9060;-122.4471;-197.7385;5.6153;-0.0939;-0.1011;-1.0453;1;0.8767;2.6683;9.6748;7.9319;-0.6370;5.7651;0.2702;-0.5283;-0.5824;6;8.9914;1.2794;0.2287;31.2547;0.8361;-9.6245;-1.1181;-0.2366;-0.0827;1;0;
658;0;-3.4169;3.0038;18.1349;-130.7697;-188.3262;1.3414;-0.1495;-0.1383;-1.0999;1;1.6727;3.7011;9.4605;11.2985;-1.4209;4.2443;0.2822;-0.4983;-0.6004;6;9.2791;1.4498;0.4630;30.1528;2.5509;-10.3461;-1.1346;-0.2380;-0.1363;1;0;
659;0;-5.0761;4.0959;19.6098;-133.5765;-173.1052;-4.4443;-0.2039;-0.0781;-1.0677;1;1.2145;2.9540;9.3897;7.1796;-1.8918;4.7015;0.2882;-0.5223;-0.6004;6;9.6125;1.3354;0.0685;29.7290;4.7855;-11.2374;-1.1026;-0.2370;-0.1179;1;0;
660;0;-6.0113;4.6610;21.1623;-117.1622;-147.0049;-14.6333;-0.2539;-0.1506;-1.0563;1;1.6187;2.4362;9.5123;6.1426;-1.2285;4.0275;0.2882;-0.5163;-0.5944;6;9.5551;0.9942;0.0100;25.6660;6.4955;-9.4736;-1.0713;-0.2743;-0.1007;1;0;
661;0;-7.1002;5.6576;20.8972;-81.1709;-116.6090;-26.2051;-0.3114;-0.0922;-1.0744;1;0.5317;2.7837;9.6101;10.8426;-1.8620;3.8808;0.2702;-0.4983;-0.5884;6;9.2739;1.5065;0.1769;24.5656;7.4332;-9.0644;-1.0865;-0.2363;-0.0998;1;0;
662;0;-7.9072;6.6085;19.5869;-50.4946;-84.0540;-41.3537;-0.3822;-0.1463;-1.0971;1;0.7015;2.7253;9.4960;7.1698;-2.6984;1.1724;0.2702;-0.5223;-0.6064;6;9.3831;1.6199;-0.0499;25.8384;8.6018;-14.1635;-1.0721;-0.3130;-0.1197;1;0;
663;0;-8.1211;6.2821;17.7193;-23.5012;-55.9155;-61.9646;-0.3822;-0.1463;-1.0971;1;0.1311;3.1297;9.6625;10.6022;-4.7713;0.6115;0.2822;-0.5103;-0.5944;6;9.8270;1.3346;-0.6141;28.2688;9.6882;-19.9126;-1.1354;-0.2951;-0.1204;1;0;
664;0;-7.9791;5.8420;15.5676;-10.2334;-39.4161;-80.1336;-0.5069;-0.1785;-1.1055;1;0.9425;2.9003;10.1455;7.4890;-4.9608;0.2929;0.2702;-0.5163;-0.5884;6;9.7180;1.1074;-0.3874;28.2008;10.1772;-22.1807;-1.1041;-0.3140;-0.1381;1;0;
665;0;-8.3922;7.5111;12.7960;3.5100;-37.5317;-94.8120;-0.5584;-0.2133;-1.0930;1;1.7389;2.3223;9.8069;6.0022;-5.5807;1.7496;0.2762;-0.5223;-0.5944;6;9.9354;1.2205;-0.8982;28.4502;9.7818;-20.0709;-1.0882;-0.3137;-0.1378;1;0;
666;0;-5.5520;9.7983;6.9801;-26.8703;-43.9281;-112.7142;-0.5616;-0.1377;-1.0907;1;0.9917;2.4381;9.6759;4.9279;-6.8805;2.8084;0.2702;-0.5163;-0.5884;6;9.4747;0.7089;-1.3076;26.1082;9.0777;-15.5199;-1.1188;-0.2565;-0.1188;1;0;
667;0;-6.2776;8.4022;6.6930;-100.5728;-81.2529;-130.8047;-0.6476;-0.2087;-1.0814;1;1.9971;2.7890;11.3950;11.3386;-8.4939;1.8278;0.2642;-0.5163;-0.5764;6;9.2438;0.5384;-1.5408;19.2851;8.9341;-7.5731;-1.0562;-0.2942;-0.1543;1;0;
668;0;-7.8804;10.7963;11.3629;-115.1942;-134.0609;-142.9605;-0.6502;-0.1715;-1.0970;1;1.1858;3.0183;10.9120;15.1253;-9.3444;2.6096;0.2762;-0.4983;-0.5884;6;9.5945;-0.1441;-1.0200;9.8226;8.3041;-1.7946;-1.0889;-0.3520;-0.1390;1;0;
669;0;-10.8794;11.0431;15.2180;-55.7661;-168.9492;-149.8141;-0.7030;-0.1491;-1.0660;1;0.8353;2.4420;10.4927;16.0425;-10.8546;5.4096;0.2702;-0.5163;-0.5824;6;8.9684;0.4822;-1.0882;4.2006;6.6182;-3.0841;-1.0881;-0.2764;-0.1899;1;0;
670;0;-17.0379;8.3243;13.8597;20.7777;-170.4978;-144.0735;-0.7754;-0.1654;-1.0875;1;0.7604;3.0708;9.6158;27.1878;-12.8748;5.3255;0.2702;-0.5103;-0.5824;6;9.0151;0.1974;-1.6597;1.8283;3.7425;-8.4444;-1.0564;-0.3315;-0.1022;1;0;
671;0;-23.7325;4.5945;9.4110;60.1482;-146.2693;-121.6843;-0.8429;-0.1982;-1.0425;1;1.4771;2.7313;11.1505;22.1460;-17.3953;6.9185;0.2642;-0.5223;-0.5944;6;9.2441;0.2540;-1.5410;3.3346;-0.8151;-17.5297;-1.0398;-0.2743;-0.1356;1;0;
672;0;-28.4176;2.3035;6.3805;41.8738;-105.9247;-81.5533;-0.8411;-0.2165;-1.0263;1;1.5969;2.9050;11.4464;17.7250;-24.4381;6.0030;0.2642;-0.5223;-0.5824;6;9.1940;-0.0300;-1.1989;-0.1846;-3.8718;-20.8599;-1.0576;-0.3708;-0.1568;1;0;
673;0;-27.3522;2.2562;5.4075;-0.0381;-62.8902;-34.7931;-0.9282;-0.2107;-0.9812;1;0.7341;1.6398;11.1313;21.8278;-33.4729;1.0545;0.2582;-0.5223;-0.5944;6;8.7908;-0.3141;-1.5498;-6.9537;-4.4858;-16.2064;-1.0875;-0.2753;-0.1366;1;0;
674;0;-24.3734;4.5641;7.2404;-23.6919;-31.6957;7.4216;-0.9164;-0.1378;-1.0281;1;1.9326;1.8093;10.9209;22.5721;-43.8509;4.8609;0.2462;-0.5163;-0.5944;6;8.9041;-0.9967;-1.6055;-11.1138;-3.5934;-10.4820;-1.0564;-0.3130;-0.1372;1;0;
675;0;-20.9627;6.7473;9.6662;-12.0784;-15.5227;37.4888;-0.9127;-0.1744;-0.9957;1;2.7118;2.3339;12.8121;14.8090;-49.8712;1.2855;0.2702;-0.5163;-0.5764;6;8.6194;-1.1101;-1.6680;-18.9507;-2.6591;-3.4182;-1.0564;-0.3130;-0.1372;1;0;
676;0;-38.1490;-13.3305;62.7337;-19.3751;30.7853;55.0075;-1.0021;-0.1893;-1.0015;1;1.1673;2.8549;12.9604;39.4850;-58.7436;1.0398;0.2522;-0.5163;-0.5764;6;8.9632;-0.3711;-1.4323;-17.2194;-1.2540;-1.6458;-1.0576;-0.3708;-0.1568;1;0;
677;0;11.5252;-0.4174;5.7738;107.6928;213.7420;119.2905;-0.9295;-0.1535;-0.9626;1;0.9162;3.4255;11.8456;24.6193;-74.5423;1.3133;0.2582;-0.5283;-0.5884;6;7.8264;1.9051;-1.3941;-5.5600;0.6749;-23.7973;-1.0554;-0.2739;-0.1004;1;0;
678;0;11.5646;8.2267;28.4309;-152.7630;216.9570;78.2827;-0.9520;-0.0973;-0.9954;1;1.2148;4.7072;15.6634;2.5777;-89.7948;8.2940;0.2582;-0.5163;-0.5764;6;9.4825;3.7234;-0.6757;-2.1162;-2.4907;-55.7649;-1.0401;-0.3119;-0.1013;1;0;
679;0;8.4562;-14.5490;11.5007;178.6719;209.8661;67.2018;-0.8981;-0.1191;-1.0097;1;0.3478;5.9286;18.4045;22.2862;-112.1729;14.5806;0.2522;-0.5223;-0.5704;6;12.3146;5.3715;2.2955;-13.5322;-19.3243;-38.4392;-1.0887;-0.3517;-0.1213;1;0;
680;0;-2.8231;7.2317;11.3213;89.4143;175.0726;2.8297;-0.7911;-0.1439;-1.0376;1;0.2922;4.9510;18.3990;19.0290;-140.2477;22.4189;0.2462;-0.5163;-0.5824;6;16.2522;7.3012;3.6853;-18.9130;-26.2076;34.4313;-1.0252;-0.3691;-0.1028;1;0;
681;0;-0.4195;1.5003;7.4662;27.9488;127.7736;-16.6464;-0.8450;-0.1221;-1.0234;1;1.0844;3.6241;17.7641;28.7528;-168.1988;26.1546;0.2281;-0.5343;-0.5644;6;17.4972;5.9346;3.4210;-13.3757;-19.2508;60.8346;-1.0728;-0.3513;-0.1209;1;0;
682;0;-0.9734;-1.0226;13.2668;40.4627;90.9782;-28.8272;-0.7192;-0.1666;-1.0509;1;0.5318;4.6079;18.9290;21.9602;-196.2433;31.5552;0.2281;-0.5103;-0.5704;6;15.2161;2.9796;2.5757;7.8860;-6.7680;28.4698;-1.1049;-0.3712;-0.1222;1;0;
683;0;-0.5659;2.0016;9.3835;50.4139;82.2160;-20.5311;-0.7705;-0.1819;-1.0210;1;-0.2638;4.6683;19.2654;18.2563;-227.6046;36.3429;0.2281;-0.5283;-0.5464;6;11.1240;0.9938;2.0413;13.0751;5.5295;-3.6041;-1.0718;-0.3123;-0.0842;1;0;
684;0;-0.1259;3.7206;7.2100;47.9347;99.4986;1.2491;-0.7543;-0.1644;-1.0361;1;-0.4717;4.4436;20.3730;11.5622;-256.8518;39.1379;0.1921;-0.5043;-0.5704;6;8.5619;0.0298;1.4785;1.3460;14.3268;-10.0047;-1.0716;-0.2934;-0.1013;1;0;
685;0;-1.8882;2.2937;9.4734;44.0573;103.3587;16.9432;-0.7352;-0.2419;-1.0710;1;-0.8083;3.4677;20.6549;22.8087;-280.7161;35.6795;0.1921;-0.5103;-0.5464;6;6.8995;0.7136;0.5903;0.1218;18.2981;-8.8608;-1.0888;-0.3705;-0.1041;1;0;
686;0;-0.0697;0.5331;10.1111;52.4299;91.3447;18.3611;-0.7185;-0.1855;-1.0514;1;0.2444;3.1833;21.7864;52.7578;-300.0149;30.2402;0.1741;-0.5043;-0.5404;6;6.6644;1.3960;0.1861;-1.1280;18.8646;-12.2913;-1.0245;-0.3308;-0.1016;1;0;
687;0;-2.6179;3.1328;12.4270;49.6574;69.6908;26.5065;-0.7182;-0.2433;-1.0868;1;2.0240;4.3894;22.1189;90.3543;-308.1389;26.9025;0.1741;-0.5163;-0.5404;6;7.6795;2.4182;-0.0805;-11.7261;14.6914;-9.9180;-1.0405;-0.3311;-0.1019;1;0;
688;0;-1.0886;0.5315;10.3267;73.9214;48.4097;32.1063;-0.7357;-0.2036;-1.0531;1;3.8135;3.6551;25.8391;168.5361;-302.9709;20.7583;0.1561;-0.4983;-0.5163;6;7.9075;3.3279;0.0388;-19.6138;7.2594;5.3770;-1.0567;-0.3322;-0.1378;1;0;
689;0;-0.7926;1.0010;10.0926;53.1592;43.6897;30.1733;-0.6651;-0.1690;-1.0478;1;3.7371;2.6016;21.6752;221.1964;-317.9037;20.5690;0.1501;-0.5103;-0.4983;6;9.2702;3.6675;0.1213;-15.8938;-1.4796;18.4082;-1.0567;-0.3506;-0.1028;1;0;
690;0;-1.7514;0.2997;10.2596;48.3994;40.3299;26.3774;-0.6622;-0.2640;-1.0675;1;0.4674;-2.2234;8.7664;238.8144;-327.1052;10.1026;0.1561;-0.5163;-0.4863;6;10.6468;3.7233;0.9476;-10.7265;-7.7806;24.8399;-1.0565;-0.3318;-0.1200;1;0;
691;0;-1.3070;0.3997;11.5503;30.9393;15.8090;-0.2916;-0.6246;-0.3033;-1.0666;1;-0.6155;-1.6280;-0.0354;190.8771;-282.8599;16.1437;0.1201;-0.5223;-0.4803;6;11.3409;3.2680;1.6466;-4.6533;-8.9680;26.9838;-1.0564;-0.3130;-0.1372;1;0;
692;0;0.0903;1.6550;9.0492;42.9969;8.4205;-8.0765;-0.6602;-0.2628;-1.0339;1;-3.1873;0.3611;6.5412;129.7533;-255.3610;13.0812;0.1141;-0.5223;-0.4683;6;11.3442;3.1544;1.8182;1.5442;-4.9151;26.6158;-1.0719;-0.3126;-0.1019;1;0;
693;0;-0.6677;0.8228;10.3305;47.5700;9.6964;-9.8899;-0.6823;-0.2644;-1.1021;1;-3.7222;-0.6206;5.4139;60.7206;-223.0467;7.8239;0.1141;-0.5283;-0.4323;6;10.2628;2.2456;1.5688;3.6351;1.3720;27.5252;-1.0564;-0.3315;-0.1022;1;0;
694;0;-0.6886;1.4204;9.2136;42.2691;4.7687;-12.7597;-0.6262;-0.2655;-1.0654;1;-5.6903;-3.0825;7.1216;65.2291;-146.0235;-10.3301;0.1021;-0.5223;-0.4383;6;10.0863;1.3925;1.1643;0.2864;4.5298;30.2008;-1.0394;-0.2921;-0.0651;1;0;
695;0;-0.6796;1.7639;9.7348;33.6037;2.9787;-14.4734;-0.6429;-0.2447;-1.0323;1;-6.1584;-2.5527;9.6916;38.2601;-76.8234;-32.1845;0.1081;-0.5223;-0.4203;6;9.5023;1.1650;0.2380;-2.7954;5.0852;29.6829;-1.0564;-0.3315;-0.1022;1;0;
696;0;-1.2963;1.8334;8.9059;37.7509;4.6652;-13.4125;-0.6604;-0.2822;-1.0513;1;-3.1285;-5.1044;6.1077;42.7826;-40.7691;-53.9631;0.0961;-0.5283;-0.4203;6;9.4463;1.4495;0.2944;-9.6812;5.3891;23.3470;-1.0873;-0.2934;-0.0839;1;0;
697;0;-0.0785;2.3468;9.7380;30.4677;4.2812;-12.2223;-0.6047;-0.3224;-1.0494;1;-5.2446;-3.4315;6.4259;38.8911;-27.4941;-61.9148;0.1141;-0.5283;-0.4143;6;9.5599;2.1887;0.3543;-17.7903;5.3024;14.5248;-1.0557;-0.2746;-0.1359;1;0;
698;0;-1.0538;2.0650;9.0240;23.6912;2.9874;-11.3656;-0.5723;-0.2874;-1.0797;1;-5.5065;-1.0087;7.9544;-12.2653;-19.9293;-60.0007;0.1081;-0.5223;-0.4203;6;10.1315;2.3019;0.5938;-21.8563;4.2942;6.2807;-1.0242;-0.2931;-0.1359;1;0;
699;0;-0.5667;2.5853;9.3762;22.7216;2.1214;-11.1570;-0.6076;-0.3047;-1.0823;1;-6.5375;-2.4589;4.7659;4.1102;-8.2221;-59.4906;0.1141;-0.5524;-0.4263;6;10.0186;2.6433;0.6492;-25.0819;2.9054;1.2346;-1.0712;-0.2927;-0.0658;1;0;
700;0;-0.6283;2.1199;9.2642;22.9165;1.7325;-12.5518;-0.6068;-0.3236;-1.0829;1;-6.2501;-2.4016;4.8302;-15.5555;17.5080;-50.9875;0.1021;-0.5103;-0.4323;6;9.6278;2.4734;0.9851;-26.1376;1.8688;-0.7701;-1.0081;-0.3109;-0.0829;1;0;
701;0;-0.9186;2.0546;9.8437;18.2228;1.5307;-12.1282;-0.6421;-0.3409;-1.0856;1;-7.1731;-2.5741;4.4603;-33.4550;44.3126;-38.5374;0.0901;-0.5283;-0.4383;6;9.0639;2.8724;1.2040;-23.8831;1.1261;0.0783;-1.0083;-0.3113;-0.1006;1;0;
702;0;-0.7552;2.2412;8.9102;17.2605;2.4942;-11.1726;-0.6615;-0.2828;-1.0681;1;-6.2138;-2.9820;3.6571;-45.5977;70.5282;-29.0667;0.1141;-0.5163;-0.4443;6;8.6695;2.3043;1.3107;-20.8410;1.1552;2.2921;-1.0249;-0.3315;-0.1371;1;0;
703;0;-0.6895;2.8203;9.2544;11.8563;3.1949;-9.2443;-0.6387;-0.3196;-1.0179;1;-4.5568;-1.6050;3.5781;-78.4706;92.5435;-12.8733;0.0961;-0.5404;-0.4623;6;8.7325;2.3045;1.6551;-20.5322;1.7683;6.2516;-1.0406;-0.3315;-0.1197;1;0;
704;0;-0.8799;3.0606;8.7227;9.0914;4.4086;-6.8152;-0.6063;-0.2846;-1.0482;1;-5.1115;-1.3121;4.5642;-92.3330;107.7847;-1.2059;0.0901;-0.5283;-0.4983;6;8.7425;1.7931;2.1698;-22.2405;1.6210;10.1732;-1.0405;-0.3126;-0.1368;1;0;
705;0;-0.4493;2.4706;9.2046;3.6124;4.2836;-4.8424;-0.5880;-0.3432;-1.0825;1;-4.1743;-0.3882;5.7576;-108.5243;121.4295;7.6888;0.0901;-0.5163;-0.4983;6;8.7939;1.8496;1.8847;-21.9998;0.5607;14.0905;-0.9914;-0.2349;-0.1334;1;0;
706;0;-1.0495;2.0037;9.2583;1.7051;4.2610;-4.0808;-0.6408;-0.3208;-1.0514;1;-3.1786;-0.8451;6.8872;-111.3442;134.6264;10.3617;0.0901;-0.5103;-0.5223;6;9.1402;1.4514;2.1768;-17.1343;-0.0786;16.2135;-0.9919;-0.2729;-0.1169;1;0;
707;0;-1.1639;1.5333;9.5540;0.4217;4.3959;-2.9854;-0.6212;-0.3594;-1.0516;1;-2.4956;-0.1569;6.7278;-109.7317;150.1648;10.6900;0.0901;-0.5103;-0.5404;6;8.5600;1.5084;1.4797;-12.7383;0.3351;17.0686;-1.0235;-0.2917;-0.0648;1;0;
708;0;-0.5013;2.6399;9.6685;-1.7800;3.9160;-3.0604;-0.5862;-0.3615;-1.0663;1;-2.3286;0.8198;6.5598;-112.3509;166.1792;7.1682;0.0841;-0.4983;-0.5584;6;9.4095;1.2798;1.3807;-10.1865;1.9306;18.2955;-0.9914;-0.2719;-0.0636;1;0;
709;0;-0.4448;2.2342;9.4411;0.3412;3.9417;-4.0398;-0.5859;-0.3421;-1.0489;1;-0.9391;0.0729;7.2858;-115.7177;178.1576;-0.5965;0.1021;-0.4803;-0.5824;6;8.7878;1.7925;1.5413;-8.6951;3.3785;21.3350;-1.0242;-0.3116;-0.1010;1;0;
710;0;-0.7990;1.8801;9.7896;-2.0792;3.7989;-4.8737;-0.6405;-0.3786;-1.0868;1;-0.0760;0.5326;7.5387;-124.2756;190.0011;-10.4192;0.0841;-0.4683;-0.6244;6;8.7859;1.5649;1.4267;-7.6729;4.1566;22.2631;-1.0394;-0.2921;-0.0651;1;0;
711;0;-0.5650;2.1176;9.4405;1.6845;4.2388;-5.9878;-0.6202;-0.3588;-1.0348;1;-0.6400;1.7439;8.1189;-138.6974;202.1217;-20.5160;0.1021;-0.4503;-0.6484;6;8.5653;1.5086;1.7658;-8.2964;5.7752;24.0153;-0.9921;-0.2918;-0.0997;1;0;
712;0;-0.6865;2.1769;9.3792;0.4048;3.7086;-6.4138;-0.6589;-0.3200;-1.0525;1;1.3238;1.5142;8.9754;-139.0002;208.6059;-33.9493;0.1141;-0.4503;-0.6724;6;8.7908;0.9964;1.6551;-9.2653;6.4192;23.6808;-1.0230;-0.2537;-0.0814;1;0;
713;0;-0.7479;2.2944;9.3183;0.8333;3.6531;-6.6971;-0.6222;-0.3599;-1.0684;1;1.9880;2.2691;10.8655;-139.3839;214.0319;-44.7943;0.1261;-0.4383;-0.7265;6;9.1970;1.3944;2.1778;-10.0244;6.0462;24.2228;-0.9601;-0.2723;-0.1162;1;0;
714;0;-0.8016;2.2317;9.6684;0.1210;3.3391;-6.3875;-0.6444;-0.2842;-1.0838;1;2.8582;2.4427;11.4686;-138.6034;215.8326;-54.5795;0.1681;-0.4203;-0.7385;6;8.6713;0.8257;1.3095;-9.9910;5.0234;23.3840;-0.9912;-0.2346;-0.1156;1;0;
715;0;-1.1054;1.9425;9.4916;-0.8077;2.9922;-6.0450;-0.6212;-0.3594;-1.0516;1;3.3877;3.9986;12.3641;-130.0252;217.5637;-60.5696;0.1861;-0.4023;-0.7745;6;9.2379;0.7112;1.2626;-11.1778;4.0670;22.1522;-1.0063;-0.1962;-0.0970;1;0;
